127.0.0.1 - - [09/Nov/2016:18:10:52 -0600] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:10:56 -0600] "GET /web/ HTTP/1.1" 200 12983
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:10:57 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:10:57 -0600] "GET /web/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:10:57 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:10:58 -0600] "GET /web/resource/img/calender.png;jsessionid=FA125D4E4699782A38904E134D131F82 HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:16:36 -0600] "GET /web/ HTTP/1.1" 200 12983
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:16:36 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:16:36 -0600] "GET /web/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:16:36 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:16:37 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:16:37 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:16:37 -0600] "GET /web/resource/img/calender.png;jsessionid=FA5F717AE209AE6E15C642CD1C9188B8 HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:16:37 -0600] "GET /favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:16:40 -0600] "GET /web/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:17:09 -0600] "GET /web/curvas/1?_=1478736997120 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:17:09 -0600] "GET /web/curvas/1?_=1478736997119 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:17:11 -0600] "GET /web/nodos/ByCriteria;id_proveedor=1;col=Cetesi;?_=1478736997121 HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:17:14 -0600] "POST /web/graficas/ HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:41:37 -0600] "GET /web/ HTTP/1.1" 200 12895
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:41:37 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
